Name,Score
Kathy Kennedy MD,56
Denise Dean,84
David Tapia,76
Sarah Phillips,61
Tina Walker,94
Nicholas Ballard,59
Terri Frederick,62
Danielle Kirk DDS,80
Thomas Espinoza,61
Kevin Torres,100
Sierra Johnson,70
Heather Holmes,81
Russell Jones,81
Bill Guzman,57
Rebecca Anderson DDS,61
Brittany Garza,55
Jillian Ramirez,82
Alexander Torres,93
Amy Mckay,79
Beverly Doyle,63
Juan Archer,83
Charles Rodriguez,76
Hannah Martinez,65
Jason Lynn,57
Miranda Wilson,59
Wendy Owens,53
Valerie Tanner,61
Ashley Garrett,87
Christopher Smith,82
Jennifer Chavez,70
Logan Johnson,82
Danielle Bailey,59
Alexis Johns,72
Dr. Melissa Mack DVM,53
Dr. Autumn Johnson PhD,69
Erin Ellis,93
Melinda Sanders,65
Cindy Arellano,72
Bradley Miller,82
Todd Brown,61
Andrea Garcia,83
Gregory Clark,96
Garrett Gutierrez,64
Gregory Harding,79
Tiffany Thomas,97
Jacqueline Smith,93
Edwin James,88
Juan Zamora,84
Jerry Nelson Jr.,99
Dwayne Baker,89
Courtney Franklin,65
Jacob Schwartz,60
Mary Mann,56
William Green,69
Emily Anderson,87
Christine Maldonado,76
Shannon Adams,63
Anne Gibson,75
Ann Tate,85
Erik Wilson,53
Jonathan Ortiz,67
Abigail Jackson,57
Sarah Perkins,84
Rhonda Griffin,98
Jodi Kaufman,60
Patricia Evans,86
James Carroll,80
Billy Walsh,53
Oscar George,72
Michelle Ware,91
Marcia Phillips,57
Eddie Clark,60
James Smith,91
Amber Russell,78
Mary Williams,70
Rhonda Freeman,68
Katie Wilson,70
Anna Harris,81
Jacqueline Garcia,67
Jonathan Smith,60
Howard Payne,83
James Robinson,55
Jessica Scott,87
Stacey Adkins,83
Sarah Stevens,100
Jessica Parker,83
Matthew David,58
Dustin Frank,65
Michael Morales,74
Kelly Zavala,69
Cheryl Roth,70
Renee Collier,60
Martha Stephens,55
Derrick Sanders,70
Nicholas Day,85
Cassandra Thomas,85
Isaac Abbott,94
Alyssa Ferguson,83
Kimberly Brown,85
Theresa Carter,66
Lydia Torres,97
John Sharp,55
Shannon Williams,78
Mark Ramirez,80
Christian Chen,81
Dennis Wright,98
Brooke Smith,90
Samantha Dennis,52
Jordan Hall,71
James Cook,71
Sara Yates,86
Kathy Gonzalez,98
Megan Hughes,72
Janet Park,80
Katelyn Mccormick,77
Ashley Rodriguez,80
Jose Burns,94
Zachary Stewart,63
Jason Clayton,50
Tiffany Phillips,67
Megan Mack,70
Kathryn Smith,98
Patricia Newton,88
Sarah Guerra,65
Robert Hogan,66
Lauren Cherry,67
John Stanley,65
Mrs. Tina Rivera DVM,93
Michael Abbott,97
Abigail York,62
Thomas Carr,70
David Boyd,90
Joseph Jones,74
Traci Smith,63
Jerry Morgan,94
Laura Burnett,99
Seth Wilson,59
Monique Arellano,81
James Young,59
Joshua Smith,71
Kimberly Bell,93
Mariah Hall,67
Angel Crawford,87
Dwayne Sparks,61
Scott Gregory,78
Tracy Hart,65
Mrs. Lisa Guzman,68
Maria Rubio,84
Michelle Smith,59
Anna Phillips,52
Mario Scott,74
Misty Bond,79
Norman Duffy,90
Mr. Daniel Gomez MD,82
Jonathan Edwards,75
James Rodriguez,52
Lisa Wilson,75
Jason Ortega,54
Kathleen Diaz,86
David Harrison,86
William Wheeler,62
Casey Nixon,57
Wendy Mcgrath,73
Sharon Gibson,90
Judy Clark,88
William Coffey,78
Robin Bartlett,75
Jeffrey Cherry,74
Benjamin Jones,55
Emily Abbott,98
Jacqueline Castaneda,67
David Brown,85
Adam Riley,93
Joshua Meyer,66
Michael Duffy,72
Alex Allen,76
Meghan Li,90
Tonya Owen,81
Erin Griffin,100
Julia Meyer,93
Robert Guerra,82
Charles Martin,94
Isaac Miller,92
Miss Kim Jackson MD,76
Cynthia Sosa,87
Patrick Bishop,86
Anthony Parks,69
William Wilson,96
Colleen Armstrong,56
Nathan Harris,64
Emma Bell,66
Scott Moore,89
Christopher Hart,54
Randy Wyatt,89
Kristina Carey,77
Jermaine Hernandez,93
Michael Conway,98
Edward Robles,60
Tina Scott,76
Kevin Mckinney,82
Alexa Hill,99
Jacob Matthews,93
Nicole Hinton,73
Chris Allen,59
Rachel Jones,84
Kelly Frazier,99
James Lopez,81
Michael Walters,88
Cheryl Patel,82
Whitney Williams,72
Evan Clark,70
Andrew Lopez,88
Jason Kelley,86
Nicholas Smith,73
Daniel Bowen,89
Lindsey Johnson,61
Amy Fernandez,52
Jordan Miller,99
Nicholas Christensen,50
Rebecca Mccall,74
Allison Wilkerson,95
Eddie Estrada,57
Stephen Bell,90
Joseph Curry,69
Susan Carey,91
Joseph Nelson,54
Brandy Gordon,74
John Wolf,84
Chelsea Cruz,51
Brandy Hughes,98
Kevin Huffman,82
Krista Peterson,91
Bradley Garrett,58
Nicole Rubio,69
Jasmine Campbell,66
Taylor Mcgee,89
Jeffrey Rodriguez,61
Angel Chavez,75
Steven Hodge,92
Joshua Mitchell,79
Michelle Smith,73
Donna Adams,100
Jacqueline Smith,95
Paul Garcia,99
Joshua Morrow,52
Phillip Vega,66
Alexandra Anderson,57
Michael Chandler,78
Gregory Odonnell,52
Monique Campbell,60
Tony Wilson,99
Daniel Calhoun,72
Paul Montoya,71
Lisa Evans,98
Carla Williams,69
Barbara Reyes,95
Amy Graham,83
David Torres,100
Melissa Nelson,71
Todd Kelley,66
Paula Mcconnell,88
Kristen Rodriguez,90
Daniel Stevens,54
Gregory Rodriguez,53
Tim Anderson,61
Christina Roberts MD,81
Kristine Brown,56
Deanna Dalton,57
Edward Armstrong,60
Shane Anderson,70
Wendy James,74
Susan Tran,99
Terry Boyd,60
Luis Rivers,51
James Anderson,62
Sarah Lloyd,77
Austin Krueger,63
Rachel Gonzalez,92
Adam Cooke,63
Lisa Andrews,71
Tonya Newton,95
Anthony Gomez,97
Albert Turner,76
Nicole Robbins,53
Karen Williams,88
Angela Cox,51
Ryan Jensen,97
Kenneth Calderon,51
Ryan Robinson,68
Angel Cox,77
Lindsey Hunt,63
Amanda Maldonado,95
Sean Keller,69
Lisa Sims,91
Stephanie Cochran,93
Gregory Sparks,66
Michael Hernandez,54
Jamie Williams,67
Kevin Williams,80
Jimmy Lopez,83
Randall Rodriguez,68
Seth Reed,51
Antonio Diaz,79
Anthony Vargas,72
Alexander Garrett,53
Daniel Ford,90
Brandy Brown,96
Greg Ho,59
Derrick Williams,85
Jose Moyer,94
James Navarro,87
Mr. William Harper,96
Steve Graham,93
Caleb Johnson,80
Elizabeth Silva,57
James Kelley Jr.,82
Antonio Garcia,69
Joseph Wolfe,68
Megan Taylor,75
Jerry Kirk,86
Michelle Dean,98
Jacob Hamilton,73
Derrick Buchanan,88
Catherine Rosales,56
Jessica Sanchez,92
Thomas Williams,75
Rachel Campbell,56
Rebecca Heath,60
Anne Smith,94
Jennifer Burke,55
Becky Zamora,83
Shawna Powers,78
James Gregory,83
Samuel Smith,73
Jordan Fitzgerald,77
Michael Schultz,58
Tonya Powell,88
Kyle Vasquez,60
Jose Barnes,65
Allen Mitchell,61
Laura Lane,85
Caitlin Morris,89
Shannon Hicks,51
Lisa Nguyen,89
Emily Howell,98
Angela Jones,74
David Lowe,58
Vernon Jacobs,52
Laurie James,76
Tiffany Stevens,59
Laura Lopez,72
Patricia Allen,83
David Carroll,64
Jessica Mitchell,95
Andre Harris,51
Eugene Martinez,60
Wayne Price,85
Debra Huffman,97
Benjamin Murphy,74
Jason Wall,93
Samantha Schneider,76
James Wright,82
Jennifer Moyer,78
Michelle Solomon,58
John Steele,77
Holly Hoover,65
Travis Steele,85
Robin Ward,88
Summer Dennis,55
Jessica Alexander,65
Kayla Snyder,67
Jennifer Barber,69
David Mathews,59
Michael Robinson,100
Amy King,72
Teresa Clark,55
Savannah Martin,91
Daniel Davis,90
Michelle Griffin,87
Susan Morton,80
Laura Burnett,53
Jennifer Gates,70
Renee Barnes,58
Kenneth Page,70
Mallory Fisher,74
Mr. Daniel Davis,51
Gary Haynes,69
Meredith Stevenson,87
Sandra Garcia,58
Debbie Aguilar,86
Andrea Herrera,67
Jerry Price,79
Terry Oneill,91
Jeff Perez,62
Carl Martinez,72
Richard Cooper,76
Philip Harrington MD,66
James Cunningham,82
Brenda Norman,80
Travis Brown,81
Danny Leach,85
Caleb Mullen,63
Amy Watkins,91
William Schultz,86
Wendy Gallegos,93
Lori Nguyen,74
George Wood,52
Elizabeth Thomas,57
Michelle Yang,55
Amanda Riggs,67
Angela Stewart,75
Cindy Petty,75
Alex Torres,62
Melissa Powers,73
Rebecca Compton,52
Daniel Anderson,97
Gloria Phillips DDS,96
Jacqueline Miller,54
Sean Phillips,52
Jesse Evans,64
Joseph Henry,63
Latoya Lin,72
Michael Burch,89
Matthew Gonzalez,62
Lisa Johnson,64
Melody Williams,86
Candace Malone,64
Scott Castillo,67
Zachary Rosales,86
Mrs. Alexandria Johnson,96
Jeremy Warren,87
Anthony Luna,56
Chelsea Boyer,54
Justin Clark,67
Steven Stokes,58
Heather Castillo,61
Todd Hill,78
Miss Natalie Hogan,81
Dustin Jackson,98
Dean Proctor,98
James Brown,86
Kristen Santiago,61
Jacob Martin,95
Laura Stone,83
Dustin Grant,93
Jacob Tran,70
Jeremy Brown,73
Dr. Alexander Johnson,74
Emily Underwood,50
Amber Russell,59
Andrew Bishop,50
Anna Pitts MD,97
Jason Weeks,66
William Klein,72
Marie Jennings DDS,57
Rachel Torres,53
Frank Jones,69
Johnathan Perez,64
Jeremy Savage,61
Laura Porter,72
Ryan Castillo,79
Kathleen Mathis,71
Steve Green,79
Elizabeth Mcintyre,57
Robert Williamson,89
Gary Navarro,82
Anna Shaw,56
Laura Wheeler,75
Richard Andrade,52
Samuel Smith,81
Jackie Salinas,67
Julian Mccarthy,68
Jennifer Rowland,97
Joshua Willis,65
Daniel Brown,68
Virginia Underwood,88
Victor Hernandez,71
Joseph Rivera,87
Phillip Wong,51
John Sampson,63
James Brown,81
Jessica Jones,80
Frank Vaughn,55
Steven Taylor,64
Lisa Perez,94
David Mcmahon,63
Michael Wilson,67
Emily Miller,100
Diana Lozano,64
Linda Russell,80
Gregory Sampson,74
Joshua Hudson,87
Derek Townsend,86
Michele Underwood,80
April Richardson,60
Justin Cannon,67
Jessica Stevenson,86
Joshua Montgomery,68
Kenneth Melton,50
John Holden,58
Michael Mendoza,78
Trevor Dawson,98
Kelly Morales,74
Richard Chavez,83
Tyler Griffin,76
Savannah White,50
Jordan Ibarra,76
Sally Ramirez,70
Joshua Mcguire,98
Kimberly Perez,72
Tanya Jones,81
Nancy Smith,81
Caroline Mcdaniel,68
Ms. Marie Mcgee DVM,65
Ryan Rodriguez,60
Megan Gomez,78
Beth Welch,58
Lindsey Cardenas,65
Crystal Bender,68
Joshua Romero,58
Jacqueline Butler,67
Nichole Hopkins,80
Loretta Ramirez,65
Charles Acosta,88
Cheryl Newton,77
Alexander Todd,94
Jerry Campbell,61
Joseph Stanley,100
David Moore,60
Brittany Johnson,94
Diane Delgado,75
Lisa Harris,83
Geoffrey Henry,63
Kimberly Elliott MD,66
Kaitlyn Rivera,85
Jeffrey Williams,54
Jennifer Simmons,53
Michael Page,100
Mark Banks,57
Miss Jillian Hancock MD,82
Sarah Sanchez,67
Sheryl Young,99
Nicholas Riley,61
Kyle Wagner,68
James Dodson,79
Paul Mayer,83
Robert Vazquez,93
Dr. Terry Wilkerson,65
Justin Jennings,69
Ashley Miller,60
Marc Stewart,89
William Campbell,65
Troy Miller,50
Tiffany Woods,68
Cheyenne Reynolds,83
Michele Schmidt,83
Dr. William Peterson,66
Melissa Briggs,100
Tristan Miller,100
Marc Haas MD,81
Justin Nelson,59
Melissa Cooley,88
Megan Smith,84
David Bird,69
Trevor Rogers DDS,61
Amy Mccarthy,76
Joseph Vaughan,69
Tiffany Mcclure,91
Theresa Strong,64
Jeremiah Cook,94
Sandra Lopez,57
Alexander Martinez,68
Bradley Humphrey,58
Justin Nash,95
Joshua Norris,75
Luis Fowler,63
Lauren Prince,54
Joshua Garcia,65
Christopher Wilson,85
Olivia Robinson,91
John Hogan,93
Sarah Smith,53
Tamara Adams,85
Samuel Patel,95
Nathan Cook,66
Daniel Mitchell,63
Larry Rodriguez,58
Haley Craig,86
Jon Rivers,81
Eric Hernandez,65
Jason Murphy,80
Nicholas Maynard,80
Stacey Campbell,58
Tanya Jones,60
Mark Perez,63
Lindsey Martinez,52
John Monroe,93
Kristen Elliott,87
James Vega,76
Kimberly Kelley,91
Adrian Edwards,92
Gary Scott,68
Brendan White,100
Lisa Evans,82
John Rodriguez,89
Alan Burch,50
Amanda Hoffman,70
Tyler Douglas,93
Dr. Richard Huang,77
John Burns,94
Patrick Johnson,60
Sherry Williamson,66
Steven Barajas,89
Matthew Moore,55
Elizabeth Morris,78
Paula Dixon,73
Peter Wilson,81
Benjamin Ferrell,82
Austin Hale,59
Christopher Mckinney,68
Terrence Cohen,97
John Arias,68
Hannah Francis,63
Clinton Arnold,87
Bernard Williams,58
Kelly Lee,60
Christopher Taylor,61
Angela Nelson,79
John Edwards,85
Heidi Peterson,57
Joshua Barnes,50
Adam Duran,83
Brandon Mcclain,76
Julian Rowe,89
Dawn Anderson,53
Jennifer Smith,92
Angel Peterson,83
Daniel Bell,95
Jordan Marshall,64
Kevin Jordan,94
Austin Fischer,82
Donald James,57
Gabriella Sims,98
Jonathan Mahoney,75
Heather Rodriguez,96
Bruce Acosta,97
Kathryn Kelly,82
Lacey Mitchell,91
Candace Rodriguez,55
Mr. Jeffrey Shields,74
Mrs. Rebecca Johnson,83
Kyle Chapman,79
Ethan Griffith,51
Jorge Suarez,69
Jessica Jones,79
Shawn Gates,63
Elizabeth Edwards,57
Courtney Phillips,93
Christopher Gordon,52
Daniel Mason,73
Peggy Rodriguez,50
Nathaniel Robinson,84
David Moore,85
Sonya Gordon,67
Eric Hill,55
Aaron Bean,86
Paul Roberts,96
Randy Lynch,86
Joseph Knox,68
Candice David,89
Alan Reyes,75
Tami White,87
Ronald Padilla,92
Katrina Scott,60
Jordan Hernandez,60
Michelle Alexander,57
Stephen Estrada,94
Regina Good,71
Timothy Lewis,76
Margaret Wells,69
Anne Jones,69
David Christensen,50
Mike Olsen,60
Alicia Johnson,79
Scott Williams,81
Desiree Simpson,62
Kimberly Waters,88
Jacqueline Price,57
William Gomez,100
Robin Mcclure,76
Ryan Williams,53
April Mack,52
Yvonne Fletcher,80
Brandon Holmes,58
Michele Johnson,68
William Lang,98
Lynn Anderson,55
Carolyn Lee,96
Becky Jordan,82
Debra Mcknight,75
Frederick Mullins,89
Jeanette Cook,80
Matthew Carroll,89
Kenneth Oconnor,65
Anita Scott,88
Matthew Gregory,76
Andrew Woods,63
Jodi Hoffman,71
Jorge Cooper,73
Brenda Dunn,58
Jerome Taylor,74
Dennis Duran,51
Karen Sanchez,68
Rebecca Cruz,72
Philip Barry,76
Chris Thompson,66
Jennifer Lynn,65
Rebecca Nelson,80
Nicole Allen,84
Lori Ewing,81
Anthony Fisher,82
Robert Thomas,86
Monica Bell,67
Justin Williams,54
Jennifer King,69
Brenda Scott,55
Kim Allen,58
Timothy Hernandez,93
Tammy Rodriguez,86
Heidi Klein,50
Herbert Edwards,59
Whitney Blankenship,66
John Johnson,58
Kathleen Price,93
James Roberts,75
Jillian Green,74
Kim Carter,77
Jessica Sanchez,75
Brad Palmer,61
Marcus Bryant,93
Jennifer Johnson,60
Evan Oneal,77
John Simmons,64
Ashley Brown,95
Deborah Rowe,93
Mary Alvarado,72
Michele Wilson,75
Sara Scott,85
Connie Barnett,94
Gary Brown,55
Kimberly Monroe,96
Lucas Thomas,97
Shelly Burnett,92
Deborah Brown MD,97
Joseph Dixon,52
Andrew Alexander,55
Bradley Drake,78
William Miller,64
Kevin Johnson,100
Keith Cortez,85
Donna Wilcox,96
Lauren Schwartz,64
Pamela Snow,84
Jeffrey Smith,77
Peter Martin,87
Amanda Randolph,68
Adam Maxwell,75
Bonnie Garrett,80
Nichole Owen,50
Mary Potts,55
Michael Henry,98
Steve Castillo,60
Ryan Lee,93
Monica West,89
Lindsay Richardson,87
Adam Gray,87
Cynthia Pierce,98
Kayla Mitchell,60
Michael Bush,53
Heather Juarez,78
Mandy Ward,76
John Martinez,77
Richard Paul,55
John Clark DDS,58
Michelle Smith,98
Zachary Watson,82
Karen Perez,77
Thomas Fitzpatrick,93
Cynthia Gonzales,59
Lindsey Baker,97
David Murphy,99
Curtis Hernandez,74
Anthony Graves,72
Robert Pacheco,55
Robert Hunt,95
Austin Cooper,81
Courtney Bush,55
Susan Gonzalez,72
Brian Rosario,84
William Gaines,98
Christopher Johnson,50
Jonathan Adams,89
Leslie Huynh,65
David Cox,76
Michelle Jones,87
Joshua Anthony,62
Lauren Greer,97
David Wilson,88
Daniel Lee,53
Stephen Clayton,79
Jennifer Lopez,75
Karen Barber,96
Lawrence Frye,53
Kimberly Williams,65
Jamie Moreno,75
Brenda Sutton,66
Brenda Cunningham,50
Sarah Anderson,64
Jim Moss,71
Sharon Morales,82
Thomas Jones,70
Cameron Lawrence,98
Randall Neal,53
Michelle Williams,94
Mike Cannon,78
Angel Brown,78
Margaret Harris,65
John Thompson,61
Benjamin Clark,71
Donald Snyder,96
Isaac Fernandez,100
Gregory Rios,88
Mr. Javier Johnson,91
Mary Ford,55
Steven Douglas,90
Maria Potts,84
Ashley Combs,77
Victor Ramirez,57
Joyce Mccarthy,84
Ryan Brown,81
Sheila Horne,76
Candace Allison,88
Brandy Moreno,85
Destiny Jackson,85
Michelle Walker,55
Destiny Herrera,78
Cheryl Grant,73
Jeffrey Powers DDS,87
Tamara Brown,67
Nancy Young,74
Franklin Martinez,90
Brian Jackson,71
Jeremy Fletcher,84
William Adams,92
Michelle Bolton,87
Suzanne Murphy,98
Carlos Thompson,74
Raymond Barrett,72
Richard Dunn MD,72
Elizabeth Fitzgerald,99
Bryan Ruiz,67
Sheena Petersen,94
Douglas Sexton,64
Patrick Gardner,87
